Feature,Importance
PM2.5,0.4895551170372775
CO,0.3651963460074558
NO,0.03652577435020082
PM10,0.03603092077198643
O3,0.012453409993685799
NOx,0.01004287740768099
SO2,0.008070573363080225
Toluene,0.007253907854219859
NO2,0.006163629325571935
day,0.005701882807755957
year,0.004982949147092297
Benzene,0.004803933795635058
City,0.0031999759424138716
month,0.002753197165508527
weekday,0.0027044716273172545
NH3,0.0024966589053746686
Season,0.0020643744977431222
